bill_name,lobbying_companies,bill_no,date introduced,sponsor,committee,state,party,no_bills_in_state,properties.color,properties.article
"A bill to specify control and management of Department of Defense data and to establish the Chief Digital and Artificial Intelligence Officer Governing Council, and for other purposes.",,S.3004,10/03/2023,"Manchin, Joe, III",Senate - Armed Services,West Virginia,Democratic Party,3,#00AEC5,
Preventing Deep Fake Scams Act,,H.R.5808,09/28/23,"Pettersen, Brittany",House - Financial Services,Colorado,Democratic Party,4,#00AEC5,
Protect Elections from Deceptive AI Act,,S.2770,09/12/2023,"Klobuchar, Amy",Senate - Rules and Administration,Minnesota,Democratic Party,4,#00AEC5,
Basic Allowance for Housing Calculation Improvement Act of 2023,,H.R.5230,08/18/23,"Bacon, Don",House - Armed Services,Nebraska,Republican Party,2,#00CCE7,
"Calling on the United States to champion a regional artificial intelligence strategy in the Americas to foster inclusive artificial intelligence systems that combat biases within marginalized groups and promote social justice, economic well-being, and democratic values.",,H.Res.649,08/08/2023,"Espaillat, Adriano","House - Foreign Affairs; Science, Space, and Technology",New York,Democratic Party,13,#0090A3,
CREATE AI Act of 2023,,H.R.5077,07/28/2023,"Eshoo, Anna G.","House - Science, Space, and Technology",California,Democratic Party,35,#007281,
CREATE AI Act of 2023,,S.2714,07/27/2023,"Heinrich, Martin","Senate - Commerce, Science, and Transportation",New Mexico,Democratic Party,4,#00AEC5,
Outbound Investment Transparency Act of 2023,,S.2678,07/27/2023,"Cornyn, John","Senate - Banking, Housing, and Urban Affairs",Texas,Republican Party,13,#0090A3,
Artificial Intelligence Bug Bounty Act of 2023,,S.2502,07/26/2023,"Rounds, Mike",Senate - Armed Services,South Dakota,Republican Party,10,#0090A3,
Consumer Safety Technology Act,,H.R.4814,07/20/2023,"Soto, Darren","House - Energy and Commerce | Senate - Commerce, Science, and Transportation",Florida,Democratic Party,16,#0090A3,
Artificial Intelligence and Biosecurity Risk Assessment Act,"AMERICAN SECURITY FUND, CHAMBER OF COMMERCE OF THE U.S.A.",S.2399,07/19/2023,"Markey, Edward J.","Senate - Health, Education, Labor, and Pensions",Massachusetts,Democratic Party,8,#00AEC5,"Bill Name: Artificial Intelligence and Biosecurity Risk Assessment Act
Sponsor: Markey, Edward J.
Lobbying Companies: AMERICAN SECURITY FUND, CHAMBER OF COMMERCE OF THE U.S.A."
Artificial Intelligence and Biosecurity Risk Assessment Act,"AMERICAN SECURITY FUND, CHAMBER OF COMMERCE OF THE U.S.A.",H.R.4704,07/18/2023,"Eshoo, Anna G.",House - Energy and Commerce,California,Democratic Party,35,#007281,"Bill Name: Artificial Intelligence and Biosecurity Risk Assessment Act
Sponsor: Eshoo, Anna G.
Lobbying Companies: AMERICAN SECURITY FUND, CHAMBER OF COMMERCE OF THE U.S.A."
Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,BIOTECHNOLOGY INNOVATION ORGANIZATION,S.2346,07/18/2023,"Budd, Ted","Senate - Health, Education, Labor, and Pensions",North Carolina,Republican Party,7,#00AEC5,"Bill Name: Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats
Sponsor: Budd, Ted
Lobbying Companies: BIOTECHNOLOGY INNOVATION ORGANIZATION"
Closing Loopholes for the Overseas Use and Development of Artificial Intelligence Act,,H.R.4683,07/17/2023,"Jackson, Jeff",House - Foreign Affairs,North Carolina,Democratic Party,7,#00AEC5,
